participant,calibration,perc_change_min,perc_change_max
participant10,0,0.0,0.0
participant10,1,-5.686274509803924,-13.372093023255804
participant10,2,-0.6237006237006071,0.6711409395973034
participant10,3,1.0460251046024993,10.000000000000009
participant11,0,0.0,0.0
participant11,1,-3.44827586206895,26.16822429906542
participant11,2,-24.107142857142872,-7.4074074074074066
participant11,3,5.882352941176472,4.0000000000000036
participant12,0,0.0,0.0
participant12,1,-20.299884659746247,4.0000000000000036
participant12,2,0.4341534008683201,3.8461538461538547
participant12,3,0.0,11.111111111111116
participant13,0,0.0,0.0
participant13,1,29.032258064516125,-2.0979020979021046
participant13,2,0.0,-10.71428571428571
participant13,3,7.499999999999996,43.99999999999999
participant14,0,0.0,0.0
participant14,1,17.31843575418994,-3.3333333333333326
participant14,2,-10.71428571428572,6.896551724137923
participant14,3,1.3333333333333197,-3.2258064516129004
participant2,0,0.0,0.0
participant2,1,-0.4123711340206171,0.0
participant2,2,8.17805383022774,0.0
participant2,3,26.315789473684227,27.27272727272727
participant3,0,0.0,0.0
participant3,1,-2.499999999999991,13.043478260869579
participant3,2,-12.08791208791209,11.538461538461542
participant3,3,6.25,0.8620689655172376
participant5,0,0.0,0.0
participant5,1,21.282051282051295,0.0
participant5,2,-13.319238900634268,-8.333333333333337
participant5,3,34.14634146341464,9.090909090909083
participant6,0,0.0,0.0
participant6,1,-2.972972972972987,0.0
participant6,2,10.30640668523677,5.714285714285716
participant6,3,-0.5050505050505083,5.405405405405395
participant7,0,0.0,0.0
participant7,1,13.043478260869556,-3.157894736842115
participant7,2,-23.076923076923073,3.260869565217406
participant7,3,-6.600000000000006,10.526315789473696
participant8,0,0.0,0.0
participant8,1,-1.4204545454545414,0.0
participant8,2,-1.1527377521613813,0.0
participant8,3,32.65306122448979,0.0
participant9,0,0.0,0.0
participant9,1,-1.0638297872340274,33.33333333333333
participant9,2,0.26881720430107503,-12.5
participant9,3,5.36193029490617,42.85714285714286
